epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7901,1.21867,5.47831,0.93413,0.53582,0.22845,0.0982,0.06573,1.33841,3.06787,0.89289,7.03173e-05,7.03173e-05,7.03173e-05
2,72.8242,1.06585,3.51976,0.87437,0.44171,0.32278,0.20263,0.14512,1.03744,2.43399,0.854,0.000140758,0.000140758,0.000140758
3,107.426,1.06013,2.84151,0.87366,0.54214,0.22351,0.25244,0.18016,1.08479,2.0915,0.87062,0.000210636,0.000210636,0.000210636
4,141.562,1.02276,2.55354,0.86819,0.49952,0.33501,0.27952,0.18303,1.28846,2.02244,0.9269,0.00021047,0.00021047,0.00021047
5,175.674,1.00163,2.2645,0.86613,0.50415,0.39827,0.36557,0.26298,1.10789,1.73603,0.89192,0.000209626,0.000209626,0.000209626
6,209.801,1.00989,1.94289,0.87956,0.55905,0.34379,0.38219,0.25919,1.18298,1.66732,0.89626,0.000208783,0.000208783,0.000208783
7,241.636,1.0577,1.78597,0.89058,0.63149,0.34176,0.35911,0.24336,1.08367,1.68885,0.87458,0.000207939,0.000207939,0.000207939
8,273.662,0.9706,1.71019,0.87053,0.50873,0.43103,0.43774,0.31794,1.03739,1.45474,0.85882,0.000207096,0.000207096,0.000207096
9,306.917,0.96386,1.50415,0.87611,0.54355,0.4413,0.46457,0.30582,1.27344,1.46611,0.92744,0.000206252,0.000206252,0.000206252
10,339.016,0.97352,1.39742,0.87081,0.64167,0.43633,0.47674,0.33116,1.21658,1.35187,0.91031,0.000205409,0.000205409,0.000205409
11,371.826,0.96462,1.26272,0.87191,0.43161,0.47814,0.49446,0.32189,1.37563,1.39629,0.94142,0.000204565,0.000204565,0.000204565
12,403.988,1.0034,1.19157,0.87038,0.52853,0.49007,0.49071,0.32474,1.23656,1.50064,0.91059,0.000203722,0.000203722,0.000203722
13,435.33,0.98211,1.14384,0.87497,0.6505,0.49594,0.54964,0.38651,1.13257,1.34055,0.88414,0.000202878,0.000202878,0.000202878
14,466.361,1.04255,1.16952,0.8843,0.60975,0.50872,0.56714,0.42419,0.99373,1.13932,0.8522,0.000202035,0.000202035,0.000202035
15,497.713,0.98469,1.0885,0.87778,0.6086,0.4916,0.52581,0.38268,0.98507,1.37666,0.85847,0.000201191,0.000201191,0.000201191
16,529.132,0.9285,1.02433,0.8751,0.50489,0.57028,0.5702,0.40009,1.06483,1.25508,0.87706,0.000200348,0.000200348,0.000200348
17,560.127,0.94344,1.03813,0.87175,0.61612,0.55048,0.57962,0.41802,1.03362,1.13809,0.86663,0.000199504,0.000199504,0.000199504
18,591.607,0.94439,0.94086,0.87326,0.57261,0.54736,0.56219,0.42416,0.87367,1.09841,0.83969,0.000198661,0.000198661,0.000198661
19,622.676,0.92157,0.93542,0.85687,0.62558,0.52972,0.54842,0.42004,0.91737,1.10738,0.85358,0.000197817,0.000197817,0.000197817
20,654.34,0.88793,0.94147,0.85142,0.59903,0.53367,0.55109,0.41961,0.90678,1.24199,0.84712,0.000196974,0.000196974,0.000196974
21,686.738,0.84624,0.84581,0.84318,0.6495,0.52105,0.56668,0.42962,0.93849,1.08943,0.84353,0.00019613,0.00019613,0.00019613
22,717.472,0.8672,0.8533,0.86454,0.68413,0.52303,0.55407,0.39076,1.16979,1.19176,0.93026,0.000195287,0.000195287,0.000195287
23,744.59,0.8861,0.85226,0.84995,0.57794,0.52548,0.59097,0.39363,1.2531,1.13967,0.90274,0.000194443,0.000194443,0.000194443
24,775.481,0.87772,0.83586,0.8496,0.56911,0.55257,0.58089,0.40124,1.19528,1.14943,0.91191,0.0001936,0.0001936,0.0001936
25,807.444,0.8434,0.80354,0.84549,0.61328,0.5651,0.60188,0.44141,1.03341,1.07922,0.85922,0.000192756,0.000192756,0.000192756
26,839.393,0.89024,0.78173,0.85165,0.62809,0.50797,0.58924,0.44679,0.92057,1.01862,0.85683,0.000191913,0.000191913,0.000191913
27,870.549,0.84601,0.79111,0.85429,0.62856,0.54708,0.60804,0.47746,0.84145,1.14989,0.83629,0.00019107,0.00019107,0.00019107
28,903.812,0.83909,0.80653,0.84523,0.74809,0.45311,0.57693,0.46713,0.77361,1.13875,0.82255,0.000190226,0.000190226,0.000190226
29,937.56,0.81594,0.82647,0.84919,0.57442,0.57947,0.60702,0.47235,0.91758,1.06884,0.84841,0.000189383,0.000189383,0.000189383
30,971.339,0.8505,0.74238,0.83546,0.58994,0.57545,0.60392,0.45298,0.96627,1.05136,0.85413,0.000188539,0.000188539,0.000188539
31,1003.55,0.87331,0.73037,0.85512,0.68238,0.57384,0.62205,0.41446,1.19904,1.02462,0.89343,0.000187696,0.000187696,0.000187696
32,1034.47,0.88815,0.73574,0.85957,0.60378,0.53001,0.59492,0.42852,0.99909,1.0499,0.84734,0.000186852,0.000186852,0.000186852
33,1065.51,0.82788,0.68368,0.83794,0.68361,0.56246,0.62975,0.48642,0.88355,0.98705,0.84016,0.000186009,0.000186009,0.000186009
34,1097.2,0.81186,0.69007,0.85162,0.64992,0.58893,0.62213,0.49875,0.7521,0.90141,0.8243,0.000185165,0.000185165,0.000185165
35,1128.81,0.82219,0.6268,0.838,0.62788,0.62608,0.64176,0.51114,0.75064,0.81251,0.81911,0.000184322,0.000184322,0.000184322
36,1160,0.83231,0.65703,0.84388,0.54931,0.57034,0.61187,0.49059,0.78363,0.96457,0.83229,0.000183478,0.000183478,0.000183478
37,1191.34,0.84348,0.65554,0.84245,0.63096,0.59199,0.64008,0.49187,0.86954,1.05709,0.8309,0.000182635,0.000182635,0.000182635
38,1223.25,0.78028,0.65007,0.83647,0.73133,0.5137,0.6286,0.49375,0.87659,1.00341,0.84213,0.000181791,0.000181791,0.000181791
39,1256.76,0.81245,0.66016,0.8416,0.7011,0.50394,0.62929,0.46877,0.9343,1.03887,0.84637,0.000180948,0.000180948,0.000180948
40,1290.13,0.81168,0.63861,0.8317,0.62135,0.57876,0.64625,0.49479,0.90385,0.94844,0.84583,0.000180104,0.000180104,0.000180104
41,1321.94,0.81999,0.63307,0.84025,0.66557,0.5407,0.63102,0.49411,0.8416,0.99949,0.82477,0.000179261,0.000179261,0.000179261
42,1352.73,0.78057,0.60031,0.82657,0.66337,0.58791,0.64762,0.5348,0.66737,0.95157,0.80878,0.000178417,0.000178417,0.000178417
43,1384.5,0.76992,0.6186,0.83586,0.72928,0.55923,0.61533,0.49447,0.73705,0.98376,0.81436,0.000177574,0.000177574,0.000177574
44,1412.7,0.75844,0.58581,0.83457,0.633,0.64373,0.66178,0.52825,0.79227,0.90079,0.82262,0.00017673,0.00017673,0.00017673
45,1441.91,0.79737,0.60574,0.84609,0.60489,0.62032,0.60548,0.47198,0.85702,0.95512,0.82993,0.000175887,0.000175887,0.000175887
46,1470.42,0.84193,0.58075,0.83777,0.70496,0.5418,0.64574,0.45152,1.13738,0.95436,0.86619,0.000175043,0.000175043,0.000175043
47,1500.2,0.86507,0.59021,0.85219,0.591,0.58009,0.61493,0.48464,0.8181,0.98553,0.82541,0.0001742,0.0001742,0.0001742
48,1529.41,0.81754,0.55985,0.83499,0.57152,0.61954,0.6527,0.53008,0.6845,0.93035,0.80762,0.000173356,0.000173356,0.000173356
49,1558.66,0.79144,0.53822,0.83028,0.54541,0.66758,0.65246,0.5328,0.66838,0.89487,0.80713,0.000172513,0.000172513,0.000172513
50,1587.79,0.79467,0.52445,0.84029,0.63119,0.5929,0.6162,0.46094,0.97433,0.92867,0.84541,0.000171669,0.000171669,0.000171669
51,1616.85,0.76746,0.54372,0.83368,0.68929,0.51956,0.61645,0.45857,0.9129,1.084,0.8402,0.000170826,0.000170826,0.000170826
52,1645.76,0.7414,0.5252,0.82389,0.5659,0.6576,0.65315,0.5096,0.79366,0.88525,0.81642,0.000169983,0.000169983,0.000169983
53,1675.3,0.76918,0.55101,0.83549,0.69202,0.60581,0.64937,0.51588,0.79201,0.90042,0.82453,0.000169139,0.000169139,0.000169139
54,1704.65,0.74421,0.51001,0.82097,0.69021,0.63044,0.65478,0.53738,0.67409,0.88911,0.80663,0.000168296,0.000168296,0.000168296
55,1733.85,0.73695,0.53697,0.82662,0.61614,0.61435,0.6633,0.53543,0.73335,0.97917,0.8152,0.000167452,0.000167452,0.000167452
56,1763.88,0.75141,0.51505,0.83404,0.64773,0.61718,0.6396,0.50314,0.804,0.89403,0.82489,0.000166609,0.000166609,0.000166609
57,1793.31,0.72973,0.48738,0.81442,0.61654,0.63766,0.65587,0.514,0.8286,0.89001,0.82632,0.000165765,0.000165765,0.000165765
58,1822.88,0.72809,0.49394,0.83139,0.65982,0.64014,0.65869,0.53497,0.72591,0.85842,0.81741,0.000164922,0.000164922,0.000164922
59,1851.65,0.74817,0.49528,0.81787,0.69444,0.52088,0.61038,0.47635,0.81402,1.00902,0.83196,0.000164078,0.000164078,0.000164078
60,1878.54,0.74521,0.52283,0.82394,0.64468,0.66854,0.64599,0.48889,0.96436,0.95208,0.84432,0.000163235,0.000163235,0.000163235
61,1902.31,0.74289,0.48634,0.8131,0.73726,0.55355,0.63709,0.50704,0.80547,0.93383,0.82217,0.000162391,0.000162391,0.000162391
62,1930.04,0.72172,0.48512,0.83119,0.70832,0.57392,0.64859,0.51907,0.69142,0.87194,0.80646,0.000161548,0.000161548,0.000161548
63,1958.73,0.72929,0.50871,0.82281,0.69382,0.54916,0.6169,0.49794,0.68888,0.95792,0.80277,0.000160704,0.000160704,0.000160704
64,1989.79,0.69268,0.48535,0.82174,0.65842,0.61458,0.64019,0.52121,0.71478,0.84341,0.80625,0.000159861,0.000159861,0.000159861
65,2023.05,0.72652,0.48792,0.82872,0.59434,0.61342,0.6539,0.51173,0.82259,0.86835,0.82194,0.000159017,0.000159017,0.000159017
