epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4395,1.13763,5.58481,0.91808,0.67316,0.19477,0.12621,0.09304,1.04219,3.16175,0.83585,7.03173e-05,7.03173e-05,7.03173e-05
2,74.0429,0.97324,3.51653,0.86082,0.47141,0.27884,0.20376,0.15162,0.99602,2.36299,0.83424,0.000140758,0.000140758,0.000140758
3,105.93,0.96542,2.86943,0.8558,0.68689,0.20826,0.24601,0.1923,0.90377,2.06953,0.84,0.000210636,0.000210636,0.000210636
4,138.016,0.97194,2.52003,0.84656,0.50391,0.30378,0.26199,0.19062,1.043,1.96418,0.88038,0.00021047,0.00021047,0.00021047
5,170.553,0.8841,2.27777,0.84874,0.49067,0.32394,0.33393,0.25494,0.95574,1.72387,0.84903,0.000209626,0.000209626,0.000209626
6,204.977,0.87739,1.85535,0.8645,0.42106,0.44848,0.38807,0.29605,0.92935,1.64381,0.84687,0.000208783,0.000208783,0.000208783
7,236.772,0.93646,1.73206,0.86587,0.61606,0.39037,0.42621,0.33827,0.82847,1.44097,0.83903,0.000207939,0.000207939,0.000207939
8,269.425,0.90915,1.66439,0.85174,0.54503,0.43393,0.42477,0.30773,1.07328,1.5122,0.8754,0.000207096,0.000207096,0.000207096
9,302.914,0.92434,1.48157,0.85628,0.60423,0.3841,0.42401,0.29392,1.13661,1.55515,0.88878,0.000206252,0.000206252,0.000206252
10,336.945,0.90379,1.36548,0.8488,0.50085,0.50074,0.49959,0.35745,1.12524,1.26609,0.88152,0.000205409,0.000205409,0.000205409
11,368.523,0.90448,1.25301,0.85857,0.67858,0.38796,0.491,0.32858,1.30776,1.28998,0.94837,0.000204565,0.000204565,0.000204565
12,402.089,0.94871,1.12061,0.86281,0.64129,0.43923,0.53755,0.34631,1.35355,1.24709,0.92249,0.000203722,0.000203722,0.000203722
13,433.738,0.95587,1.10773,0.85976,0.64821,0.48248,0.55103,0.39826,1.01569,1.26131,0.85305,0.000202878,0.000202878,0.000202878
14,466.927,1.02677,1.11879,0.86748,0.70164,0.44232,0.56223,0.44619,0.79528,1.11216,0.82623,0.000202035,0.000202035,0.000202035
15,502.618,0.91897,0.96932,0.86844,0.74516,0.50714,0.57608,0.45414,0.8667,1.03979,0.84423,0.000201191,0.000201191,0.000201191
16,535.392,0.84083,1.01109,0.85288,0.5159,0.53331,0.58709,0.44624,0.94296,1.29871,0.8534,0.000200348,0.000200348,0.000200348
17,569.01,0.85031,1.07171,0.84632,0.65921,0.51007,0.58399,0.4108,1.08766,1.09935,0.87163,0.000199504,0.000199504,0.000199504
