epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2287,1.38075,6.6314,0.97289,0,0,0,0,1.07926,5.14415,0.84039,6.816e-05,6.816e-05,6.816e-05
2,16.8327,1.31067,6.01126,0.88215,0.02735,0.02133,0.02029,0.01447,1.07114,4.71936,0.82974,0.000135709,0.000135709,0.000135709
3,23.3211,1.29507,5.2587,0.86403,0.01774,0.28561,0.04061,0.03024,1.08546,3.83714,0.8321,0.000200474,0.000200474,0.000200474
4,29.5428,1.28235,4.85656,0.85826,0.53805,0.0643,0.06665,0.05275,1.01497,3.13292,0.83363,0.000200348,0.000200348,0.000200348
5,36.0366,1.20064,4.4908,0.84892,0.43512,0.09339,0.07062,0.05239,0.98987,2.90683,0.83398,0.00019613,0.00019613,0.00019613
6,42.3379,1.13582,4.09571,0.8485,0.33282,0.0965,0.08926,0.06751,0.94325,2.66321,0.83197,0.000191913,0.000191913,0.000191913
7,48.6397,1.11275,3.90813,0.84139,0.46492,0.11729,0.11009,0.08476,0.89894,2.45291,0.82425,0.000187696,0.000187696,0.000187696
8,54.8313,1.0755,3.76677,0.8344,0.4503,0.13899,0.13972,0.10692,0.90952,2.30553,0.83087,0.000183478,0.000183478,0.000183478
9,61.1009,1.10491,3.60387,0.83565,0.46978,0.19398,0.16903,0.13237,0.89429,2.21686,0.8272,0.000179261,0.000179261,0.000179261
10,67.3324,1.01574,3.33729,0.83366,0.47834,0.22447,0.18823,0.14967,0.87179,2.13416,0.82546,0.000175043,0.000175043,0.000175043
11,73.6661,0.99459,3.24698,0.82497,0.51654,0.23198,0.21865,0.17867,0.8295,2.05213,0.82162,0.000170826,0.000170826,0.000170826
12,79.8836,0.99725,3.19596,0.82656,0.43755,0.23725,0.22167,0.17289,0.83475,2.01033,0.82081,0.000166609,0.000166609,0.000166609
13,86.0509,0.99233,2.98877,0.8321,0.4285,0.23974,0.24878,0.19394,0.84463,1.90683,0.81997,0.000162391,0.000162391,0.000162391
14,92.414,0.98013,2.98286,0.82843,0.4817,0.24389,0.2458,0.19566,0.82207,1.91567,0.82092,0.000158174,0.000158174,0.000158174
15,98.6075,0.96261,2.8796,0.83655,0.50866,0.2376,0.25954,0.20794,0.80906,1.83393,0.82108,0.000153956,0.000153956,0.000153956
16,105.651,0.9752,2.85626,0.83007,0.42401,0.30441,0.26964,0.21584,0.79403,1.77404,0.81776,0.000149739,0.000149739,0.000149739
17,112.457,0.91121,2.73594,0.82157,0.45598,0.30597,0.27779,0.22159,0.81397,1.75812,0.81888,0.000145522,0.000145522,0.000145522
18,119.272,0.91561,2.60235,0.83012,0.50766,0.29244,0.30305,0.24283,0.80394,1.6595,0.81874,0.000141304,0.000141304,0.000141304
19,125.929,0.88832,2.58026,0.82333,0.50078,0.31446,0.30342,0.24318,0.77997,1.65465,0.81571,0.000137087,0.000137087,0.000137087
20,132.646,0.85873,2.4526,0.82506,0.44193,0.31999,0.3094,0.2528,0.7689,1.64279,0.81349,0.000132869,0.000132869,0.000132869
21,139.357,0.87089,2.43475,0.82196,0.53191,0.28517,0.31825,0.25755,0.75593,1.62417,0.81446,0.000128652,0.000128652,0.000128652
22,145.992,0.86258,2.37818,0.8227,0.50735,0.2755,0.3136,0.25029,0.79099,1.61086,0.81468,0.000124435,0.000124435,0.000124435
23,152.877,0.87178,2.28891,0.81887,0.47333,0.31776,0.32872,0.2616,0.75993,1.58234,0.81191,0.000120217,0.000120217,0.000120217
24,159.631,0.84525,2.284,0.81882,0.52753,0.36808,0.34738,0.27952,0.76121,1.55407,0.81344,0.000116,0.000116,0.000116
25,166.369,0.86596,2.28262,0.82238,0.45318,0.37926,0.34283,0.28412,0.74801,1.5628,0.81271,0.000111782,0.000111782,0.000111782
26,173.102,0.86886,2.29153,0.8195,0.50586,0.37639,0.33308,0.26984,0.76814,1.52257,0.8141,0.000107565,0.000107565,0.000107565
27,180.023,0.85622,2.19089,0.80848,0.4452,0.4333,0.35858,0.29192,0.75583,1.48253,0.81348,0.000103348,0.000103348,0.000103348
28,187.217,0.86128,2.14963,0.81486,0.46132,0.37938,0.3368,0.2692,0.75452,1.48728,0.81277,9.91302e-05,9.91302e-05,9.91302e-05
29,194.071,0.81437,2.12415,0.80752,0.52559,0.36604,0.34168,0.2731,0.73555,1.5155,0.81142,9.49128e-05,9.49128e-05,9.49128e-05
30,200.76,0.80217,2.04179,0.81856,0.52841,0.38924,0.34345,0.27738,0.72536,1.45653,0.80862,9.06954e-05,9.06954e-05,9.06954e-05
31,208.276,0.79923,1.96859,0.81443,0.45867,0.39534,0.3431,0.27721,0.73701,1.49747,0.81055,8.6478e-05,8.6478e-05,8.6478e-05
32,216.664,0.83234,1.97505,0.81437,0.53826,0.33839,0.3565,0.28741,0.74501,1.45982,0.81006,8.22606e-05,8.22606e-05,8.22606e-05
33,224.053,0.83254,2.03335,0.81179,0.58552,0.32071,0.34659,0.28356,0.71894,1.49253,0.80776,7.80432e-05,7.80432e-05,7.80432e-05
34,231.304,0.79118,1.91949,0.81458,0.57554,0.36418,0.36727,0.29812,0.73226,1.46486,0.80925,7.38258e-05,7.38258e-05,7.38258e-05
35,238.861,0.80368,1.99236,0.8106,0.55338,0.3833,0.36681,0.29656,0.72318,1.43405,0.80762,6.96084e-05,6.96084e-05,6.96084e-05
36,246.277,0.77545,1.89482,0.8085,0.49023,0.39415,0.3677,0.29709,0.74303,1.46185,0.80962,6.5391e-05,6.5391e-05,6.5391e-05
37,253.628,0.77051,1.79797,0.81826,0.44677,0.42172,0.35722,0.29011,0.71909,1.42655,0.80779,6.11736e-05,6.11736e-05,6.11736e-05
38,261.299,0.79526,1.92693,0.81093,0.53398,0.38376,0.36364,0.29496,0.72642,1.50279,0.8079,5.69562e-05,5.69562e-05,5.69562e-05
39,269.048,0.78712,1.83958,0.81356,0.55078,0.36584,0.37466,0.30247,0.72903,1.40986,0.80686,5.27388e-05,5.27388e-05,5.27388e-05
40,276.594,0.76646,1.77308,0.81385,0.57698,0.3278,0.37301,0.30448,0.70685,1.39723,0.80676,4.85214e-05,4.85214e-05,4.85214e-05
41,329.858,0.75058,2.20973,0.80584,0.47221,0.39272,0.35446,0.28521,0.76466,1.44794,0.81268,4.4304e-05,4.4304e-05,4.4304e-05
42,337.047,0.72786,2.16873,0.79696,0.50342,0.36552,0.35355,0.29003,0.73746,1.45013,0.80976,4.00866e-05,4.00866e-05,4.00866e-05
43,344,0.71088,2.11508,0.80717,0.52702,0.33089,0.35839,0.29095,0.72415,1.40374,0.80877,3.58692e-05,3.58692e-05,3.58692e-05
44,350.687,0.73967,2.13401,0.81405,0.52422,0.34889,0.3558,0.28923,0.71987,1.3919,0.80707,3.16518e-05,3.16518e-05,3.16518e-05
45,357.396,0.71272,2.05144,0.80622,0.559,0.31546,0.37038,0.3008,0.71796,1.41176,0.8076,2.74344e-05,2.74344e-05,2.74344e-05
46,364.235,0.73399,2.09623,0.80088,0.48999,0.3832,0.35876,0.29143,0.72362,1.40838,0.80753,2.3217e-05,2.3217e-05,2.3217e-05
47,371.072,0.71481,2.00243,0.81087,0.45869,0.39369,0.3526,0.2868,0.73014,1.40194,0.80796,1.89996e-05,1.89996e-05,1.89996e-05
48,377.893,0.70629,1.95566,0.80123,0.46207,0.38706,0.35839,0.29382,0.70659,1.39383,0.80569,1.47822e-05,1.47822e-05,1.47822e-05
49,384.579,0.719,2.01838,0.80641,0.45067,0.38537,0.36127,0.29366,0.71208,1.37356,0.80593,1.05648e-05,1.05648e-05,1.05648e-05
50,391.323,0.68118,1.9279,0.80498,0.42363,0.3928,0.36174,0.29496,0.71375,1.3775,0.80606,6.3474e-06,6.3474e-06,6.3474e-06
